2025-01-30 13:36:47.218994 | 1021 | Small Dr Pepper® Float | 3.59
2025-01-30 13:36:47.218994 | 1021 | Jr. Deluxe Cheeseburger | 2.79
2025-01-30 13:36:47.218994 | 1021 | Small BARQ’S® Root Beer Float | 3.59
2025-01-30 13:36:49.007078 | 1022 | Small Coca-Cola® Float | 3.94
2025-01-30 13:36:49.007078 | 1022 | Small Fanta® Orange Float | 3.94
2025-01-30 13:36:49.007078 | 1022 | Small Dr Pepper® Float | 3.94
2025-01-30 13:36:49.007078 | 1022 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:36:49.007078 | 1022 | Small BARQ’S® Root Beer Float | 3.94
2025-01-30 13:36:50.820192 | 1023 | Small Coca-Cola® Float | 3.79
2025-01-30 13:36:50.820192 | 1023 | Small Fanta® Orange Float | 3.79
2025-01-30 13:36:50.820192 | 1023 | Small Dr Pepper® Float | 3.79
2025-01-30 13:36:50.820192 | 1023 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:36:50.820192 | 1023 | Small BARQ’S® Root Beer Float | 3.79
2025-01-30 13:36:52.526874 | 1024 | Small Coca-Cola® Float | No price
2025-01-30 13:36:52.526874 | 1024 | Small Fanta® Orange Float | No price
2025-01-30 13:36:52.526874 | 1024 | Small Dr Pepper® Float | No price
2025-01-30 13:36:52.526874 | 1024 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:36:52.526874 | 1024 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:36:54.159973 | 1025 | Small Coca-Cola® Float | No price
2025-01-30 13:36:54.159973 | 1025 | Small Fanta® Orange Float | No price
2025-01-30 13:36:54.159973 | 1025 | Small Dr Pepper® Float | No price
2025-01-30 13:36:54.159973 | 1025 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:36:54.159973 | 1025 | Small BARQ’S® Root Beer Float | No price
2025-01-30 13:36:56.156327 | 1026 | Small Coca-Cola® Float | 3.49
2025-01-30 13:36:56.156327 | 1026 | Small Fanta® Orange Float | 3.49
2025-01-30 13:36:56.156327 | 1026 | Small Dr Pepper® Float | 3.49
2025-01-30 13:36:56.156327 | 1026 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:36:56.156327 | 1026 | Small BARQ’S® Root Beer Float | 3.49
2025-01-30 13:36:57.496609 | 1028 | Small Coca-Cola® Float | No price
2025-01-30 13:36:57.496609 | 1028 | Small Fanta® Orange Float | No price
2025-01-30 13:36:57.496609 | 1028 | Small Dr Pepper® Float | No price
2025-01-30 13:36:57.496609 | 1028 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:36:57.496609 | 1028 | Small BARQ’S® Root Beer Float | 3.54
2025-01-30 13:36:59.335863 | 1029 | Small Coca-Cola® Float | 4.89
2025-01-30 13:36:59.335863 | 1029 | Small Fanta® Orange Float | 4.89
2025-01-30 13:36:59.335863 | 1029 | Small Dr Pepper® Float | 4.89
2025-01-30 13:36:59.335863 | 1029 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:36:59.335863 | 1029 | Small BARQ’S® Root Beer Float | 4.89
2025-01-30 13:37:00.905399 | 1030 | Small Coca-Cola® Float | 3.54
2025-01-30 13:37:00.905399 | 1030 | Small Fanta® Orange Float | 3.54
2025-01-30 13:37:00.905399 | 1030 | Small Dr Pepper® Float | 3.54
2025-01-30 13:37:00.905399 | 1030 | Jr. Deluxe Cheeseburger | 2.49
2025-01-30 13:37:00.905399 | 1030 | Small BARQ’S® Root Beer Float | 3.54
2025-01-30 13:37:02.805324 | 1031 | Small Coca-Cola® Float | 3.99
2025-01-30 13:37:02.805324 | 1031 | Small Fanta® Orange Float | 3.99
2025-01-30 13:37:02.805324 | 1031 | Small Dr Pepper® Float | 3.99
2025-01-30 13:37:02.805324 | 1031 | Jr. Deluxe Cheeseburger | 2.49
2025-01-30 13:37:02.805324 | 1031 | Small BARQ’S® Root Beer Float | 3.99
2025-01-30 13:37:04.383122 | 1032 | Small Coca-Cola® Float | 3.29
2025-01-30 13:37:04.383122 | 1032 | Small Fanta® Orange Float | 3.29
2025-01-30 13:37:04.383122 | 1032 | Small Dr Pepper® Float | 3.29
2025-01-30 13:37:04.383122 | 1032 | Jr. Deluxe Cheeseburger | 2.59
2025-01-30 13:37:04.383122 | 1032 | Small BARQ’S® Root Beer Float | 3.29
2025-01-30 13:37:06.045613 | 1033 | Small Coca-Cola® Float | 3.79
2025-01-30 13:37:06.045613 | 1033 | Small Fanta® Orange Float | 3.79
2025-01-30 13:37:06.045613 | 1033 | Small Dr Pepper® Float | 3.79
2025-01-30 13:37:06.045613 | 1033 | Jr. Deluxe Cheeseburger | 1.99
2025-01-30 13:37:06.045613 | 1033 | Small BARQ’S® Root Beer Float | 3.79
2025-01-30 13:37:07.767870 | 1034 | Small Coca-Cola® Float | 3.94
2025-01-30 13:37:07.767870 | 1034 | Small Fanta® Orange Float | 3.94
2025-01-30 13:37:07.767870 | 1034 | Small Dr Pepper® Float | 3.94
2025-01-30 13:37:07.767870 | 1034 | Jr. Deluxe Cheeseburger | No price
2025-01-30 13:37:07.767870 | 1034 | Small BARQ’S® Root Beer Float | 3.94
2025-01-30 13:37:09.130925 | 1035 | Small Coca-Cola® Float | 2.79
2025-01-30 13:37:09.130925 | 1035 | Small Fanta® Orange Float | 2.79
2025-01-30 13:37:09.130925 | 1035 | Small Dr Pepper® Float | 2.79
2025-01-30 13:37:09.130925 | 1035 | Jr. Deluxe Cheeseburger | 2.99
2025-01-30 13:37:09.130925 | 1035 | Small BARQ’S® Root Beer Float | 2.79
2025-01-30 13:37:10.862556 | 1036 | Small Coca-Cola® Float | 3.99
2025-01-30 13:37:10.862556 | 1036 | Small Fanta® Orange Float | 3.99
